epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,98004.6,1.79706,5.25852,1.75023,0.48586,0.41877,0.3818,0.16141,2.39081,9.89901,2.28839,0.000183618,0.000183618,0.000183618
135,98675.9,1.78066,5.05612,1.73235,0.48485,0.41491,0.40566,0.16859,2.38747,10.2442,2.29381,0.000178164,0.000178164,0.000178164
136,99347.1,1.78157,5.03202,1.73339,0.50757,0.40208,0.4068,0.16995,2.3801,10.2414,2.28373,0.00017271,0.00017271,0.00017271
137,100016,1.77902,5.1311,1.74004,0.5005,0.41125,0.39329,0.17069,2.38186,9.79042,2.29187,0.000167256,0.000167256,0.000167256
138,100689,1.78931,5.13046,1.74614,0.53624,0.40571,0.39974,0.17188,2.36106,9.75101,2.27087,0.000161802,0.000161802,0.000161802
139,101368,1.7678,5.02033,1.72413,0.51671,0.40764,0.39575,0.16683,2.37614,9.64307,2.29195,0.000156348,0.000156348,0.000156348
140,102046,1.76599,5.08318,1.72195,0.44163,0.43677,0.39447,0.17305,2.37407,9.51481,2.29045,0.000150894,0.000150894,0.000150894
141,102758,1.63193,3.59951,1.67481,0.49952,0.41719,0.38459,0.16206,2.40034,10.226,2.29692,0.00014544,0.00014544,0.00014544
142,103448,1.59841,3.40139,1.66001,0.44951,0.4467,0.40604,0.17565,2.40112,10.5206,2.31289,0.000139986,0.000139986,0.000139986
143,104148,1.60166,3.30476,1.65245,0.5486,0.40604,0.41287,0.17468,2.4156,10.2216,2.31587,0.000134532,0.000134532,0.000134532
144,104816,1.59115,3.28096,1.64679,0.53589,0.40229,0.39991,0.1709,2.40931,10.0042,2.32709,0.000129078,0.000129078,0.000129078
145,105483,1.58822,3.22972,1.63898,0.52679,0.3982,0.39523,0.16763,2.39249,10.0039,2.30807,0.000123624,0.000123624,0.000123624
146,106147,1.57255,3.19985,1.62912,0.48749,0.43156,0.39884,0.17041,2.41344,10.4242,2.32241,0.00011817,0.00011817,0.00011817
147,106842,1.57163,3.1734,1.61241,0.49744,0.41876,0.40309,0.17157,2.40878,10.7149,2.3282,0.000112716,0.000112716,0.000112716
148,107524,1.56846,3.14338,1.62017,0.49412,0.42084,0.41162,0.17545,2.42009,10.8189,2.34752,0.000107262,0.000107262,0.000107262
149,108201,1.56227,3.15949,1.6357,0.47917,0.42446,0.40398,0.16768,2.4205,9.90799,2.34988,0.000101808,0.000101808,0.000101808
